Country,Region,Population,Area square km,Pop density per square km,Coastline,Net migration,Infant mortality per 1000 births,GDP in dollars per capita,Literacy rate,Phones per 1000,Birthrate,Deathrate,Agriculture,Industry,Service
Guernsey,Europe,65409,78,"838,6","64,10","3,84","4,71",20000,,"842,4","8,81","10,01","0,03","0,1","0,87"
Guinea,Africa,9690222,245857,"39,4","0,13","-3,06","90,37",2100,"35,9","2,7","41,76","15,48","0,237","0,362","0,401"
Guinea-Bissau,Africa,1442029,36120,"39,9","0,97","-1,57","107,17",800,"42,4","7,4","37,22","16,53","0,62","0,12","0,26"
Guyana,South America,767245,214970,"3,6","0,21","-2,07","33,26",4000,"98,8","143,5","18,28","8,28","0,37","0,203","0,427"
Haiti,South America,8308504,27750,"299,4","6,38","-3,4","73,45",1600,"52,9","16,9","36,44","12,17","0,28","0,2","0,52"
Honduras,South America,7326496,112090,"65,4","0,73","-1,99","29,32",2600,"76,2","67,5","28,24","5,28","0,139","0,312","0,549"
Hong Kong,Asia,6940432,1092,"6355,7","67,12","5,24","2,97",28800,"93,5","546,7","7,29","6,29","0,001","0,092","0,906"
Hungary,Europe,9981334,93030,"107,3","0,00","0,86","8,57",13900,"99,4","336,2","9,72","13,11","0,037","0,312","0,651"
Iceland,Europe,299388,103000,"2,9","4,83","2,38","3,31",30900,"99,9","647,7","13,64","6,72","0,086","0,15","0,765"
India,Asia,1095351995,3287590,"333,2","0,21","-0,07","56,29",2900,"59,5","45,4","22,01","8,18","0,186","0,276","0,538"
Indonesia,Asia,245452739,1919440,"127,9","2,85",0,"35,6",3200,"87,9","52,0","20,34","6,25","0,134","0,458","0,408"
Iran,Asia,68688433,1648000,"41,7","0,15","-0,84","41,58",7000,"79,4","276,4",17,"5,55","0,116","0,424","0,46"
Iraq,Asia,26783383,437072,"61,3","0,01",0,"50,25",1500,"40,4","38,6","31,98","5,37","0,073","0,666","0,261"
Ireland,Europe,4062235,70280,"57,8","2,06","4,99","5,39",29600,"98,0","500,5","14,45","7,82","0,05","0,46","0,49"
Isle of Man,Europe,75441,572,"131,9","27,97","5,36","5,93",21000,,"676,0","11,05","11,19","0,01","0,13","0,86"
Israel,Asia,6352117,20770,"305,8","1,31","0,68","7,03",19800,"95,4","462,3","17,97","6,18","0,026","0,317","0,657"
Italy,Europe,58133509,301230,"193,0","2,52","2,07","5,94",26700,"98,6","430,9","8,72","10,4","0,021","0,291","0,688"
Jamaica,South America,2758124,10991,"250,9","9,30","-4,92","12,36",3900,"87,9","124,0","20,82","6,52","0,049","0,337","0,615"
Japan,Asia,127463611,377835,"337,4","7,87",0,"3,26",28200,"99,0","461,2","9,37","9,16","0,017","0,258","0,725"
Jersey,Europe,91084,116,"785,2","60,34","2,76","5,24",24800,,"811,3","9,3","9,28","0,05","0,02","0,93"
Jordan,Asia,5906760,92300,"64,0","0,03","6,59","17,35",4300,"91,3","104,5","21,25","2,65","0,033","0,287","0,68"
Kazakhstan,Asia,15233244,2717300,"5,6","0,00","-3,35","29,21",6300,"98,4","164,1",16,"9,42","0,067","0,386","0,547"
